ID,Training Name,Category,Group,Requirement / Reference,
SA001,Personal Survival Techniques (PST),Statutory (S),Safety (A),STCW A-VI/1-1 ,
SA002,Fire Prevention and Fire Fighting (FPFF),Statutory (S),Safety (A),STCW A-VI/1-2,
SA003,Elementary First Aid (EFA),Statutory (S),Safety (A),STCW A-VI/1-3,
SA004,Personal Safety and Social Responsibilities (PSSR),Statutory (S),Safety (A),STCW A-VI/1-4,
SA005,Basic Safety Training,Statutory (S),Safety (A),STCW A-VI/1-1 to 1-4,
SA006,Advanced Fire Fighting (AFF),Statutory (S),Safety (A),STCW A-VI/3,
SA007,Proficiency in Survival Craft & Rescue Boats (PSCRB),Statutory (S),Safety (A),STCW A-VI/2-1,
SA008,Proficiency in Fast Rescue Boats (PFRB),Statutory (S),Safety (A),STCW A-VI/2-2,
SA009,Medical First Aid,Statutory (S),Safety (A),STCW A-VI/4-1,
SA010,Medical Care,Statutory (S),Safety (A),STCW A-VI/4-2,
SB001,Security Awareness Training,Statutory (S),Security (B),STCW A-VI/6-1,
SB002,Security Training for Seafarers with Designated Security Duties (STSDSD),Statutory (S),Security (B),STCW A-VI/6-2,
SB003,Ship Security Officer (SSO),Statutory (S),Security (B),STCW A-VI/5,
SC001,Basic Training for Oil & Chemical Tanker Cargo Operations,Statutory (S),Cargo (C),"STCW V/1-1, Table A-V/1-1-1",
SC002,Basic Training for Liquefied Gas Tanker Cargo Operations,Statutory (S),Cargo (C),"STCW V/1-2, Table A-V/1-2-1",
SC003,Advanced Training for Oil Tanker Cargo Operations,Statutory (S),Cargo (C),"STCW V/1-1, Table A-V/1-1-2",
SC004,Advanced Training for Chemical Tanker Cargo Operations,Statutory (S),Cargo (C),"STCW V/1-1, Table A-V/1-1-3",
SC005,Advanced Training for Liquefied Gas Tanker Cargo Operations,Statutory (S),Cargo (C),"STCW V/1-2, Table A-V/1-2-2",
SC006,Liquid Cargo Handling Simulator,Statutory (S),Cargo (C),STCW Table A-II/2 Section A-V/1,
SC007,Ship’s Cook & Galley Training,Statutory (S),Cargo (C),MLC,
SD001,Electronic Chart Display & Information System (ECDIS) – Generic,Statutory (S),Navigation (D),IMO Model Course 1.27; STCW Ch II,
SD002,High Voltage (HV) Safety Training(Marine HV Systems >1000V),Statutory (S),Engine (E),STCW Table A-III/1 & A-III/2,
NA001,Safety Officer Training,Industry (N),Safety (A),ISM Code,
NA002,Incident Investigation & Root Cause Analysis,Industry (N),Safety (A),"OCIMF, TMSA",
NA003,Risk Assessment and Management,Industry (N),Safety (A),"OCIMF, TMSA",
NA004,Enclosed Space Entry,Industry (N),Safety (A),OCIMF,
NA005,Gas Detection & Atmosphere Testing,Industry (N),Safety (A),,
NA006,Advanced Welding & Cutting,Industry (N),Safety (A),Class Approval,
NB001,Cyber Security Awareness,Industry (N),Security (B),IMO Resolution MSC.428(98),
NC001,Oil Tanker Cargo & Ballast Handling Simulator,Industry (N),Cargo (C),IMO Model Course 2.06,
NC002,Chemical Tanker Cargo Handling Simulator,Industry (N),Cargo (C),,
NC003,LNG Tanker Cargo & Ballast Handling Simulator,Industry (N),Cargo (C),IMO Model Course 1.36,
