"column_name","data_type","is_nullable"
"id","text","NO"
"first_name","text","NO"
"middle_name","text","YES"
"nationality","text","NO"
"vessel_type","text","NO"
"sign_on_date","text","YES"
"created_at","timestamp without time zone","YES"
"updated_at","timestamp without time zone","YES"
"emp_no","text","YES"
"family_name","text","YES"
"date_of_birth","text","YES"
"age","text","YES"
"present_rank","text","NO"
"rank_applied_for","text","YES"
"employee_id","text","YES"
"present_vessel","text","NO"
"last_vessel","text","YES"
"status","text","YES"
"sign_off_date","text","YES"
"contract_period","text","YES"
"relief_due","text","YES"
"reason","text","YES"
"availability","text","YES"
"email","text","YES"
"mobile","text","YES"
"contact_landline","text","YES"
"country_of_residence","text","YES"
"nearest_airport","text","YES"
"residential_address_line1","text","YES"
"residential_address_line2","text","YES"
"place_of_birth_city","text","YES"
"place_of_birth_country","text","YES"
"height_cm","text","YES"
"weight_kg","text","YES"
"bmi","text","YES"
"native_language","text","YES"
"foreign_languages","text","YES"
"english_proficiency","text","YES"
"marital_status","text","YES"
"number_of_dependent_children","text","YES"
"father_name","text","YES"
"mother_name","text","YES"
"spouse_first_name","text","YES"
"spouse_middle_name","text","YES"
"spouse_family_name","text","YES"
"spouse_date_of_birth","text","YES"
"nok_first_name","text","YES"
"nok_middle_name","text","YES"
"nok_family_name","text","YES"
"nok_telephone","text","YES"
"nok_email","text","YES"
"nok_address","text","YES"
"nok_relationship","text","YES"
"manning_agent","text","YES"
"vessel_types","text","YES"
"documents","text","YES"
"visas","text","YES"
"education","text","YES"
"licenses","text","YES"
"training_courses","text","YES"
"current_company_sea_service","text","YES"
"external_sea_service","text","YES"
"pre_joining_medicals","text","YES"
"doctor_visits","text","YES"
"children","text","YES"
"uploaded_photo","text","YES"
"is_active","boolean","YES"
"next_availability","text","YES"
"crew_pool","character varying","YES"
"gender","text","YES"
